,mibfc,Month,Total Loaned,Months' Income Borrowed,Number of Loans
1,1,2014-2,10000,1 to 2,1
2,3,2012-10,10000,3 to 4,1
3,1,2013-9,15000,1 to 2,1
4,1,2013-12,15000,1 to 2,1
5,1,2013-4,3000,1 to 2,1
6,2,2013-5,10000,2 to 3,1
7,3,2013-12,10000,3 to 4,1
8,3,2013-12,10000,3 to 4,1
9,1,2012-5,13500,1 to 2,1
10,1,2013-12,4000,1 to 2,1
11,1,2013-7,8500,1 to 2,1
12,1,2013-4,19330,1 to 2,1
13,2,2013-2,15000,2 to 3,1
14,2,2013-8,6500,2 to 3,1
15,2,2013-11,14000,2 to 3,1
16,0,2013-4,2000,0 to 1,1
17,1,2013-12,4000,1 to 2,1
18,0,2013-10,4000,0 to 1,1
19,1,2013-2,4000,1 to 2,1
20,2,2013-11,10000,2 to 3,1
21,3,2013-12,35000,3 to 4,1
22,2,2012-1,10000,2 to 3,1
23,3,2014-1,25000,3 to 4,1
24,1,2010-10,16000,1 to 2,1
25,2,2011-12,9000,2 to 3,1
26,1,2013-11,10000,1 to 2,1
27,1,2013-9,5000,1 to 2,1
28,1,2012-5,13000,1 to 2,1
29,1,2013-10,5000,1 to 2,1
30,1,2013-6,16000,1 to 2,1
31,1,2013-4,25000,1 to 2,1
32,2,2013-5,15000,2 to 3,1
33,1,2013-8,15000,1 to 2,1
34,3,2013-8,25000,3 to 4,1
35,1,2013-12,10000,1 to 2,1
36,0,2011-10,2500,0 to 1,1
37,0,2013-3,7000,0 to 1,1
38,0,2013-2,3000,0 to 1,1
39,1,2012-8,18000,1 to 2,1
40,2,2013-10,10000,2 to 3,1
41,3,2013-9,15000,3 to 4,1
42,0,2011-11,2000,0 to 1,1
43,1,2013-7,8000,1 to 2,1
44,3,2013-11,25000,3 to 4,1
45,0,2013-12,2000,0 to 1,1
46,1,2013-9,5000,1 to 2,1
47,0,2011-3,3000,0 to 1,1
48,2,2013-6,10000,2 to 3,1
49,0,2012-10,2774,0 to 1,1
50,0,2011-4,4500,0 to 1,1
51,0,2013-7,4000,0 to 1,1
52,0,2011-3,2500,0 to 1,1
53,0,2013-6,4000,0 to 1,1
54,3,2013-4,22500,3 to 4,1
55,3,2014-1,4000,3 to 4,1
56,2,2012-11,25000,2 to 3,1
57,0,2013-7,4000,0 to 1,1
58,1,2012-6,4000,1 to 2,1
59,3,2013-8,20000,3 to 4,1
60,3,2013-12,10000,3 to 4,1
61,0,2014-2,4500,0 to 1,1
62,1,2012-5,4000,1 to 2,1
63,0,2011-11,4000,0 to 1,1
64,0,2012-6,3500,0 to 1,1
65,1,2010-12,3500,1 to 2,1
66,1,2012-6,7000,1 to 2,1
67,0,2012-2,4000,0 to 1,1
68,1,2014-1,20000,1 to 2,1
69,4,2012-8,15000,4+,1
70,1,2012-10,2000,1 to 2,1
71,0,2014-1,4000,0 to 1,1
72,3,2013-12,15000,3 to 4,1
73,0,2011-8,2000,0 to 1,1
74,2,2011-11,10000,2 to 3,1
75,1,2012-3,4000,1 to 2,1
76,1,2012-3,4000,1 to 2,1
77,1,2012-4,4000,1 to 2,1
78,0,2013-12,2000,0 to 1,1
79,1,2013-10,15000,1 to 2,1
80,1,2012-4,6000,1 to 2,1
81,2,2013-12,15000,2 to 3,1
82,3,2014-1,10000,3 to 4,1
83,1,2013-8,15000,1 to 2,1
84,3,2014-2,14000,3 to 4,1
85,3,2013-5,10000,3 to 4,1
86,2,2013-9,10000,2 to 3,1
87,1,2012-8,5000,1 to 2,1
88,0,2013-10,6000,0 to 1,1
89,0,2013-10,4000,0 to 1,1
90,2,2013-12,4000,2 to 3,1
91,0,2012-3,3000,0 to 1,1
92,2,2013-7,9000,2 to 3,1
93,3,2014-1,20000,3 to 4,1
94,0,2012-10,3500,0 to 1,1
95,2,2013-8,22000,2 to 3,1
96,1,2013-12,10000,1 to 2,1
97,0,2014-2,3333,0 to 1,1
98,1,2012-8,7500,1 to 2,1
99,2,2013-10,10000,2 to 3,1
100,2,2013-11,15000,2 to 3,1
101,2,2013-10,15000,2 to 3,1
102,2,2012-4,15000,2 to 3,1
103,1,2012-8,4000,1 to 2,1
104,0,2014-2,5500,0 to 1,1
105,1,2014-1,12475,1 to 2,1
106,0,2013-11,3500,0 to 1,1
107,2,2014-2,15000,2 to 3,1
108,0,2013-9,4500,0 to 1,1
109,0,2013-1,3600,0 to 1,1
110,2,2014-1,12000,2 to 3,1
111,0,2014-1,4000,0 to 1,1
112,0,2012-5,2900,0 to 1,1
113,1,2011-12,5500,1 to 2,1
114,2,2013-12,7500,2 to 3,1
115,1,2013-11,4000,1 to 2,1
116,2,2012-4,13500,2 to 3,1
117,0,2012-11,2000,0 to 1,1
118,2,2013-12,24800,2 to 3,1
119,1,2013-10,15000,1 to 2,1
120,2,2013-6,15000,2 to 3,1
121,0,2011-10,3800,0 to 1,1
122,2,2013-5,15000,2 to 3,1
123,0,2012-10,25000,0 to 1,1
124,1,2011-12,3000,1 to 2,1
125,0,2010-8,3000,0 to 1,1
126,1,2014-2,13000,1 to 2,1
127,0,2011-9,4000,0 to 1,1
128,2,2013-6,10000,2 to 3,1
129,3,2013-9,20000,3 to 4,1
130,2,2012-2,10000,2 to 3,1
131,0,2014-1,10000,0 to 1,1
132,2,2014-2,7000,2 to 3,1
133,0,2012-5,15000,0 to 1,1
134,0,2013-7,4000,0 to 1,1
135,3,2013-11,15000,3 to 4,1
136,1,2012-3,4000,1 to 2,1
137,1,2013-6,10000,1 to 2,1
138,2,2013-5,15000,2 to 3,1
139,2,2013-10,7000,2 to 3,1
140,0,2014-1,30000,0 to 1,1
141,0,2012-10,5000,0 to 1,1
142,1,2013-12,15000,1 to 2,1
143,2,2013-11,9000,2 to 3,1
144,2,2013-8,8000,2 to 3,1
145,1,2014-1,12000,1 to 2,1
146,1,2014-1,4000,1 to 2,1
147,3,2013-7,30000,3 to 4,1
148,2,2013-10,15000,2 to 3,1
149,2,2013-11,9000,2 to 3,1
150,3,2013-6,15000,3 to 4,1
151,0,2012-3,2000,0 to 1,1
152,0,2012-5,2000,0 to 1,1
153,1,2010-12,7500,1 to 2,1
154,3,2014-1,20000,3 to 4,1
155,0,2013-6,4000,0 to 1,1
156,1,2012-6,10000,1 to 2,1
157,1,2013-3,15000,1 to 2,1
158,1,2010-10,5000,1 to 2,1
159,1,2013-4,4000,1 to 2,1
160,0,2013-8,3000,0 to 1,1
161,0,2014-2,11000,0 to 1,1
