,Month,Months' Income Borrowed,Total Loaned Per Month,Number of Loans Per Month
1,2010-8,0 to 1,465037,153
2,2010-9,0 to 1,512275,150
3,2010-10,0 to 1,566646,167
4,2010-11,0 to 1,601555,182
5,2010-12,0 to 1,681350,170
6,2011-1,0 to 1,848850,180
7,2011-2,0 to 1,1076694,248
8,2011-3,0 to 1,1070890,247
9,2011-4,0 to 1,913773,214
10,2011-5,0 to 1,985198,234
11,2011-6,0 to 1,993902,242
12,2011-7,0 to 1,1294926,275
13,2011-8,0 to 1,1517451,346
14,2011-9,0 to 1,1532359,326
15,2011-10,0 to 1,1769640,385
16,2011-11,0 to 1,1698364,387
17,2011-12,0 to 1,1639487,404
18,2012-1,0 to 1,1944610,421
19,2012-2,0 to 1,1769389,430
20,2012-3,0 to 1,1918470,449
21,2012-4,0 to 1,2195470,496
22,2012-5,0 to 1,2349617,546
23,2012-6,0 to 1,2620881,626
24,2012-7,0 to 1,2628100,625
25,2012-8,0 to 1,2694360,598
26,2012-9,0 to 1,2404939,540
27,2012-10,0 to 1,2469279,542
28,2012-11,0 to 1,1736323,408
29,2012-12,0 to 1,1313789,318
30,2013-1,0 to 1,1347309,304
31,2013-2,0 to 1,1370062,295
32,2013-3,0 to 1,1805978,363
33,2013-4,0 to 1,2009765,425
34,2013-5,0 to 1,2497728,528
35,2013-6,0 to 1,2900256,596
36,2013-7,0 to 1,3168366,664
37,2013-8,0 to 1,3032285,589
38,2013-9,0 to 1,3796404,745
39,2013-10,0 to 1,4159306,817
40,2013-11,0 to 1,3878837,759
41,2013-12,0 to 1,3837919,722
42,2014-1,0 to 1,4075077,714
43,2014-2,0 to 1,3090008,549
44,2010-8,1 to 2,577813,79
45,2010-9,1 to 2,586526,74
46,2010-10,1 to 2,781251,108
47,2010-11,1 to 2,808150,107
48,2010-12,1 to 2,991870,128
49,2011-1,1 to 2,1293450,153
50,2011-2,1 to 2,1299573,184
51,2011-3,1 to 2,1662017,232
52,2011-4,1 to 2,1734057,232
53,2011-5,1 to 2,1423071,204
54,2011-6,1 to 2,1373540,195
55,2011-7,1 to 2,1675544,239
56,2011-8,1 to 2,1788883,259
57,2011-9,1 to 2,2110978,280
58,2011-10,1 to 2,2687202,345
59,2011-11,1 to 2,2660904,357
60,2011-12,1 to 2,2700408,367
61,2012-1,1 to 2,3371739,437
62,2012-2,1 to 2,3011236,404
63,2012-3,1 to 2,3278054,413
64,2012-4,1 to 2,3356748,437
65,2012-5,1 to 2,3278741,433
66,2012-6,1 to 2,3956966,506
67,2012-7,1 to 2,4015508,506
68,2012-8,1 to 2,4319001,548
69,2012-9,1 to 2,3764293,458
70,2012-10,1 to 2,3829796,478
71,2012-11,1 to 2,3380488,404
72,2012-12,1 to 2,2527323,291
73,2013-1,1 to 2,2702997,290
74,2013-2,1 to 2,2852201,295
75,2013-3,1 to 2,4638173,489
76,2013-4,1 to 2,5092581,530
77,2013-5,1 to 2,7203155,758
78,2013-6,1 to 2,7166160,756
79,2013-7,1 to 2,9372364,966
80,2013-8,1 to 2,8267484,846
81,2013-9,1 to 2,10678606,1196
82,2013-10,1 to 2,12302842,1344
83,2013-11,1 to 2,12833420,1319
84,2013-12,1 to 2,14817538,1420
85,2014-1,1 to 2,15510784,1531
86,2014-2,1 to 2,12677031,1201
87,2010-8,2 to 3,248450,25
88,2010-9,2 to 3,375140,39
89,2010-10,2 to 3,205950,24
90,2010-11,2 to 3,246025,28
91,2010-12,2 to 3,392995,38
92,2011-1,2 to 3,758858,68
93,2011-2,2 to 3,747702,79
94,2011-3,2 to 3,1091037,108
95,2011-4,2 to 3,790024,79
96,2011-5,2 to 3,786435,88
97,2011-6,2 to 3,913671,99
98,2011-7,2 to 3,871563,92
99,2011-8,2 to 3,903227,99
100,2011-9,2 to 3,1225047,135
101,2011-10,2 to 3,1664282,163
102,2011-11,2 to 3,1331158,138
103,2011-12,2 to 3,1831980,169
104,2012-1,2 to 3,2430900,206
105,2012-2,2 to 3,2294200,195
106,2012-3,2 to 3,2108150,187
107,2012-4,2 to 3,2351462,208
108,2012-5,2 to 3,2228764,203
109,2012-6,2 to 3,2690459,237
110,2012-7,2 to 3,2725496,231
111,2012-8,2 to 3,3202794,261
112,2012-9,2 to 3,3294880,259
113,2012-10,2 to 3,3593153,277
114,2012-11,2 to 3,2750013,228
115,2012-12,2 to 3,1725569,150
116,2013-1,2 to 3,2287449,174
117,2013-2,2 to 3,2899777,211
118,2013-3,2 to 3,4534352,341
119,2013-4,2 to 3,6170692,426
120,2013-5,2 to 3,7932383,573
121,2013-6,2 to 3,8362694,625
122,2013-7,2 to 3,10602032,751
123,2013-8,2 to 3,8784557,630
124,2013-9,2 to 3,12987197,979
125,2013-10,2 to 3,14966403,1116
126,2013-11,2 to 3,16002886,1137
127,2013-12,2 to 3,18992521,1327
128,2014-1,2 to 3,20644912,1462
129,2014-2,2 to 3,16082819,1124
130,2010-8,3 to 4,61000,5
131,2010-9,3 to 4,167000,14
132,2010-10,3 to 4,127400,12
133,2010-11,3 to 4,182300,17
134,2010-12,3 to 4,170200,16
135,2011-1,3 to 4,268836,25
136,2011-2,3 to 4,356599,34
137,2011-3,3 to 4,411969,37
138,2011-4,3 to 4,216951,22
139,2011-5,3 to 4,384690,35
140,2011-6,3 to 4,439788,39
141,2011-7,3 to 4,317325,31
142,2011-8,3 to 4,396699,40
143,2011-9,3 to 4,513649,44
144,2011-10,3 to 4,598049,47
145,2011-11,3 to 4,583000,53
146,2011-12,3 to 4,816800,64
147,2012-1,3 to 4,1063175,85
148,2012-2,3 to 4,1069814,80
149,2012-3,3 to 4,1096741,81
150,2012-4,3 to 4,1085172,88
151,2012-5,3 to 4,1375600,104
152,2012-6,3 to 4,1248537,98
